Weergave_Naam,Locatie,Kaartweergave,Categorie,Aflevering,Waarde,Latitude,Longitude,Link
Argentinië,Argentina,Land,Reguliere aflevering,Afl. 102,1,-38.4161,-63.6167,https://www.grotepodcastlas.nl/aflevering/argentinie
Oman,Oman,Land,Reguliere aflevering,Afl. 103,1,21.4735,55.9754,https://www.grotepodcastlas.nl/aflevering/oman
San Marino,San Marino,Land,Reguliere aflevering,Afl. 104,1,43.9424,12.4578,https://www.grotepodcastlas.nl/aflevering/san-marino
Filipijnen,Philippines,Land,Reguliere aflevering,Afl. 105,1,12.8797,121.774,https://www.grotepodcastlas.nl/aflevering/filipijnen
Zambia,Zambia,Land,Reguliere aflevering,Afl. 106,1,-13.1339,27.8493,https://www.grotepodcastlas.nl/aflevering/zambia
Kirgizië,Kyrgyzstan,Land,Reguliere aflevering,Afl. 107,1,41.2044,74.7661,https://www.grotepodcastlas.nl/aflevering/kirgizie
Londen,London,Punt,Wereldstad,Wereldstad #7,1,51.5,-0.12,https://www.grotepodcastlas.nl/aflevering/londen
Beijing,Beijing,Punt,Wereldstad,Wereldstad #8,1,39.9,116.4,https://www.grotepodcastlas.nl/aflevering/beijing
Mexico,Mexico,Land,Reguliere aflevering,Afl. 108,1,23.6345,-102.5528,https://www.grotepodcastlas.nl/aflevering/mexico
België,Belgium,Land,Reguliere aflevering,Afl. 109,1,50.5039,4.4699,https://www.grotepodcastlas.nl/aflevering/belgie
Soedan,Sudan,Land,Reguliere aflevering,Afl. 110,1,12.8628,30.2176,https://www.grotepodcastlas.nl/aflevering/soedan
Oostenrijk,Austria,Land,Reguliere aflevering,Afl. 111,1,47.5162,14.5501,https://www.grotepodcastlas.nl/aflevering/oostenrijk
Ecuador,Ecuador,Land,Reguliere aflevering,Afl. 112,1,-1.8312,-78.1834,https://www.grotepodcastlas.nl/aflevering/ecuador
Gabon,Gabon,Land,Reguliere aflevering,Afl. 113,1,-0.8037,11.6094,https://www.grotepodcastlas.nl/aflevering/gabon
Afghanistan,Afghanistan,Land,Reguliere aflevering,Afl. 114,1,33.9391,67.71,https://www.grotepodcastlas.nl/aflevering/afghanistan
Ghana,Ghana,Land,Reguliere aflevering,Afl. 115,1,7.9465,-1.0232,https://www.grotepodcastlas.nl/aflevering/ghana
Indonesië,Indonesia,Land,Reguliere aflevering,Afl. 116,1,-0.7893,113.9213,https://www.grotepodcastlas.nl/aflevering/indonesie
Dominica,Dominica,Land,Reguliere aflevering,Afl. 117,1,15.415,-61.371,https://www.grotepodcastlas.nl/aflevering/dominica
Istanbul,Istanbul,Punt,Wereldstad,Wereldstad #9,1,41.0,28.97,https://www.grotepodcastlas.nl/aflevering/istanbul
Seoul,Seoul,Punt,Wereldstad,Wereldstad #10,1,37.56,126.97,https://www.grotepodcastlas.nl/aflevering/seoul
Belarus,Belarus,Land,Reguliere aflevering,Afl. 118,1,53.7098,27.9534,https://www.grotepodcastlas.nl/aflevering/belarus
Niger,Niger,Land,Reguliere aflevering,Afl. 119,1,17.6078,8.0817,https://www.grotepodcastlas.nl/aflevering/niger
Nicaragua,Nicaragua,Land,Reguliere aflevering,Afl. 120,1,12.8654,-85.2072,https://www.grotepodcastlas.nl/aflevering/nicaragua
Iran,Iran,Land,Reguliere aflevering,Afl. 121,1,32.4279,53.688,https://www.grotepodcastlas.nl/aflevering/iran
Groenland,Greenland,Punt,Rafelrandjes,Rafelrandjes #1,1,71.7,-42.6,https://www.grotepodcastlas.nl/aflevering/groenland
Westelijke Sahara,Western Sahara,Punt,Rafelrandjes,Rafelrandjes #2,1,24.21,-12.88,https://www.grotepodcastlas.nl/aflevering/westelijke-sahara
Tibet,Tibet,Punt,Rafelrandjes,Rafelrandjes #3,1,31.69,88.09,https://www.grotepodcastlas.nl/aflevering/tibet
